group,variable,value
id,118,118
name,118,IAmAwesomAngelo
user_id,118,4644934932
followers,118,7
friends,118,132
verified,118,0
created_at,118,2015-12-24 19:44:43.000000
statuses,118,299
id,119,119
name,119,TheTypewriterQ
user_id,119,1442471158780100623
followers,119,282
friends,119,846
verified,119,0
created_at,119,2021-09-27 12:49:11.000000
statuses,119,3409
id,120,120
name,120,MuyiwaBraimoh
user_id,120,971064717400829955
followers,120,222
friends,120,264
verified,120,0
created_at,120,2018-03-06 16:47:24.000000
statuses,120,20571
id,121,121
name,121,BigScreenTicket
user_id,121,1665745004
followers,121,11599
friends,121,318
verified,121,0
created_at,121,2013-08-12 18:34:01.000000
statuses,121,103697
id,122,122
name,122,shamilrocks
user_id,122,589381030
followers,122,178
friends,122,512
verified,122,0
created_at,122,2012-05-24 19:55:01.000000
statuses,122,574
id,123,123
name,123,DC_SportsGirl40
user_id,123,414001947
followers,123,950
friends,123,985
verified,123,0
created_at,123,2011-11-16 14:15:35.000000
statuses,123,2187
id,124,124
name,124,CV_talks_film
user_id,124,1508931230204629001
followers,124,34
friends,124,55
verified,124,0
created_at,124,2022-03-29 22:17:25.000000
statuses,124,4707
id,125,125
name,125,VisualsByVM
user_id,125,1519290263297875968
followers,125,1
friends,125,2
verified,125,0
created_at,125,2022-04-27 12:20:22.000000
statuses,125,66
id,126,126
name,126,news3people
user_id,126,1028217517272051712
followers,126,289
friends,126,51
verified,126,0
created_at,126,2018-08-11 09:52:14.000000
statuses,126,11649
id,127,127
name,127,Nollie38
user_id,127,18998096
followers,127,541
friends,127,1131
verified,127,0
created_at,127,2009-01-14 22:01:06.000000
statuses,127,251639
id,128,128
name,128,MC3377425
user_id,128,745756009
followers,128,128
friends,128,92
verified,128,0
created_at,128,2012-08-08 19:01:32.000000
statuses,128,49008
id,129,129
name,129,Keyguardianxtra
user_id,129,1526243127232712705
followers,129,347
friends,129,1203
verified,129,0
created_at,129,2022-05-16 16:48:26.000000
statuses,129,6197
id,130,130
name,130,EnergyTopaz
user_id,130,1498730564026880012
followers,130,85
friends,130,406
verified,130,0
created_at,130,2022-03-01 18:43:36.000000
statuses,130,4044
id,131,131
name,131,RaverOldskool
user_id,131,1263068742247948288
followers,131,1410
friends,131,2762
verified,131,0
created_at,131,2020-05-20 11:27:19.000000
statuses,131,78171
id,132,132
name,132,AbandonedLizard
user_id,132,1293885609946292224
followers,132,439
friends,132,2899
verified,132,0
created_at,132,2020-08-13 12:22:34.000000
statuses,132,118328
id,133,133
name,133,xgeeohx
user_id,133,35930986
followers,133,443
friends,133,712
verified,133,0
created_at,133,2009-04-28 00:55:58.000000
statuses,133,54784
id,134,134
name,134,quotianiquebaby
user_id,134,743558472512397313
followers,134,604
friends,134,1242
verified,134,0
created_at,134,2016-06-16 21:38:49.000000
statuses,134,4291
id,135,135
name,135,Derek_Brink
user_id,135,359710139
